Deal Status,Unit Type,Model Year,Model,ShortVIN,Inv. Prep. Stat.,Deal Completion,GPS Fix,GPS Fix Reason,Moving (Calc),PT Status,PT Serial ,Encore Serial,PT Last Read,State Loc,PT City,PT ZipCode,Lat,Long
ACTIVE,Truck,2021,Cascadia PT126SLP,MC0980,  Available,43.33%,Fully Working,Properly working,1,Disabled,66771869,84276269,2025-12-04 10:41:00,NM,Santa Rosa, 88435,34.947962,-104.639405
ACTIVE,Truck,2021,Cascadia PT126SLP,MC1055,  Available,66.67%,Fully Working,Properly working,-1,Enabled,26714093,84028458,2025-12-04 07:30:00,ND,Woodburn, 97071,45.147832,-121.896988
ACTIVE,Truck,2021,Cascadia PT126SLP,MD4394,  Available,9.62%,Fully Working,Properly working,1,Enabled,66770580,84352763,2025-12-04 04:18:00,WA,Tualatin, 97306,46.29028,-122.76049
ACTIVE,Truck,2021,Cascadia PT126SLP,MD4449,  Available,87.50%,Fully Working,Properly working,-1,Enabled,66771840,84321668,2025-12-04 02:33:00,TX,Houston, 77013,29.800637,-95.266378
ACTIVE,Truck,2021,Cascadia PT126SLP,MF7318,  Available,33.65%,Fully Working,Properly working,1,Enabled,66757941,84276247,2025-12-04 08:02:00,GA,Marietta, 30701,34.443845,-84.492122
ACTIVE,Truck,2021,Cascadia PT126SLP,MG5180,  Available,12.50%,Fully Working,Properly working,1,Enabled,66762201,84321723,2025-12-04 11:42:00,MI,Plymouth, 48150,42.381752,-83.419622
ACTIVE,Truck,2021,Cascadia PT126SLP,ML9605,  Available,14.42%,Fully Working,Properly working,1,Enabled,26736943,84321801,2025-12-04 10:47:00,CA,Mojave, 93501,35.047548,-116.160042
ACTIVE,Truck,2021,Cascadia PT126SLP,MP2810,  Available,45.83%,Fully Working,Properly working,-1,Enabled,26736691,84308375,2025-12-03 16:25:00,IN,Indianapolis, 46217,39.705788,-86.182038
ACTIVE,Truck,2021,Cascadia PT126SLP,MP4539,  Available,54.17%,1x encore,Removed from vehicle,1,Enabled,66752164,83217333,2025-12-04 02:58:00,GA,Yucca, 86438,35.001675,-85.385478
ACTIVE,Truck,2021,Cascadia PT126SLP,MS0399,  Available,45.83%,1x passtime,Driving disabled,-1,Enabled,66702533,83221703,2025-12-04 01:32:00,CA,San Joaquin County,"ty, CA",37.868765,-121.290367
ACTIVE,Truck,2021,Cascadia PT126SLP,MU4212,  Available,20.19%,1x passtime,Driving disabled,1,Enabled,66762124,84276304,2025-12-04 08:21:00,AZ,Navajo County, 86047,35.118635,-110.522735
ACTIVE,Truck,2021,Cascadia PT126SLP,MV0550,  Available,53.33%,2x encores,Removed from vehicle,1,Enabled,66743553,84091073,2025-12-04 01:30:00,CA,Colton, 92324,34.03822,-117.358985
ACTIVE,Truck,2021,Cascadia PT126SLP,MZ1641,  Available,40.00%,Fully Working,Properly working,1,Enabled,26736786,84230230,2025-12-04 08:15:00,AR,Malvern, 72335,35.02574,-90.815023
ACTIVE,Truck,2021,Cascadia T12664ST,MS0016,  Available,5.13%,Fully Working,Properly working,1,Enabled,66762340,84352867,2025-12-04 11:31:00,WA,Jerome, 84316,46.339128,-112.384505
ACTIVE,Truck,2021,LT Sleeper,063247,  Available,25.96%,Fully Working,Properly working,-1,Enabled,66753316,84276246,2025-12-04 10:13:00,CA,Madera, 93637,36.985945,-120.090428
ACTIVE,Truck,2021,LT625 Sleeper,102712,  Available,27.88%,Fully Working,Properly working,1,Enabled,66762113,84276229,2025-12-04 11:35:00,PA,Pine Grove Township, 19311,40.533062,-75.795085
ACTIVE,Truck,2021,LT625 Sleeper,192528,  Available,22.44%,Fully Working,Properly working,1,Enabled,66762308,84333170,2025-12-04 09:23:00,IA,Walcott, 52773,41.614803,-90.781693
ACTIVE,Truck,2021,LT625 Sleeper,201929,  Available,28.85%,Fully Working,Properly working,1,Enabled,66762128,84276114,2025-12-04 10:37:00,CA,Little America, 82929,41.545588,-109.856803
ACTIVE,Truck,2021,LT625 Sleeper,223103,  Available,22.12%,Fully Working,Properly working,1,Enabled,26714122,83611739,2025-12-04 07:17:00,ID,Fullerton, 92833,43.145173,-112.395182
ACTIVE,Truck,2021,LT625 Sleeper,242328,  Available,36.67%,1x passtime,Driving disabled,-1,Enabled,66277770,82159467,2025-12-04 07:55:00,FL,Daytona Beach, 32114,29.20668,-81.08334
ACTIVE,Truck,2021,LT625 Sleeper,279521,  Available,41.60%,Fully Working,Properly working,1,Enabled,26736658,84308363,2025-12-04 10:47:00,NV,Storey County, 89434,39.514168,-115.3636
ACTIVE,Truck,2021,LT625 Sleeper,686828,  Available,43.33%,Fully Working,Properly working,-1,Enabled,66743644,84230221,2025-12-04 07:03:00,CA,Fresno County, 93725,36.696432,-119.717042
ACTIVE,Truck,2021,LT625 Sleeper,868900,  Available,31.73%,Fully Working,Properly working,1,Enabled,26737307,84276206,2025-12-04 11:05:00,OH,Sunbury, 67738,40.2592,-82.928223
ACTIVE,Truck,2021,Peterbilt 579 Sleeper Truck,765328,  Available,0.00%,Fully Working,Properly working,1,Enabled,6677142,84352759,2025-12-04 10:33:00,MA,Oklahoma City, 73128,35.4658182,-97.6131794
ACTIVE,Truck,2021,PT126SLP,MF6989,  Available,26.92%,Fully Working,Properly working,1,Enabled,66754040,84276126,2025-12-04 11:20:00,IA,Minquadale, 19720,39.69914,-75.573778
ACTIVE,Truck,2021,PT126SLP,MF7392,  Available,31.68%,1x passtime,Disconnected,1,Warning Sent,66757846,84276164,2025-12-04 10:30:00,NE,Hall County, 68803,40.831185,-98.382283
ACTIVE,Truck,2021,PT126SLP,MG9735,  Available,12.18%,Fully Working,Properly working,1,Enabled,66771792,84321634,2025-12-04 11:42:00,MO,Wentzville, 47802,39.425243,-87.418983
ACTIVE,Truck,2021,PT126SLP,MJ4828,  Available,20.19%,Fully Working,Properly working,1,Enabled,66771916,84321805,2025-12-04 00:02:00,CA,Williams, 97741,44.751317,-121.026757
ACTIVE,Truck,2021,T680 Sleeper Truck,468736,  Available,14.16%,1x passtime,Disconnected,1,Enabled,66770264,83641548 & 84436925,2025-12-04 08:33:00,OH,Vigo County, 45502,39.866352,-83.814352
ACTIVE,Truck,2021,T680 Tractor,464507,  Available,18.27%,Fully Working,Properly working,1,Enabled,66762150,84321788,2025-12-04 11:19:00,IN,Indianapolis, 46219,39.835592,-85.925972
ACTIVE,Truck,2021,VNL760 Sleeper,268562,  Available,50.00%,"1x passtime
1x encore",Removed from vehicle,1,Enabled,26736171,84091185,2025-12-04 03:10:00,NY,Albany County, 82070,41.350688,-105.697658
ACTIVE,Truck,2022,Cascadia,LK2835,  Available,30.77%,Fully Working,Properly working,1,Enabled,66762244,84333208,2025-12-04 07:19:00,CA,Manteca, 95337,37.759147,-121.204958
ACTIVE,Truck,2022,Cascadia,NE3791,  Available,43.33%,Fully Working,Properly working,-1,Enabled,66770564,84230038,2025-12-04 04:44:00,CA,Lost Hills, 93249,35.614123,-119.657792
ACTIVE,Truck,2022,Cascadia,NE4007,  Available,19.23%,Fully Working,Properly working,1,Enabled,66762143,84276123,2025-12-04 09:26:00,VA,Parkton, 17406,40.055997,-76.650968
ACTIVE,Truck,2022,Cascadia 116,MV7435,  Available,16.35%,Fully Working,Properly working,1,Enabled,66771899,84321716,2025-12-04 08:10:00,OH,Sylvan Shores, 45369,39.936572,-83.576563
